TimeStep,"Coastal dolphins","Offshore dolphins","Baleen whales",Seabird,"Sea turtle","Blacktip shark","Dusky shark","Sandbar shark","Large coastal sharks","Large oceanic sharks","Atlantic sharpnose shark","Small coastal sharks","Yellowfin tuna","Bluefin tuna","Other tunas",Billfish,Swordfish,"Pelagic coastal piscivores",Amberjack,Cobia,"King mackerel (0-1yr)","King mackerel (1+yr)","Spanish mackerel (0-1yr)","Spanish mackerel (1+yr)",Skates-rays,"Gag grouper (0-3yr)","Gag grouper (3+yr)","Red grouper (0-3yr)","Red grouper (3+yr)","Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)","Goliath grouper","Deep-water grouper","Shallow-water grouper","Red snapper (0yr)","Red snapper (1-2yr)","Red snapper (3+yr)","Vermilion snapper","Mutton snapper","Other snapper","Inshore coastal piscivores","Sea trout","Oceanic piscivores","Benthic piscivores","Reef piscivores","Reef invertebrate feeders","Demersal coastal invertebrate feeders","Red drum","Benthic coastal invertebrate feeders",Tilefish,"Gray triggerfish","Coastal omnivores","Reef omnivores","Surface pelagics","Large oceanic planktivores","Oceanic planktivores",Sardine-herring-scad,"Menhaden (0yr)","Menhaden (1yr)","Menhaden (2yr)","Menhaden (3yr)","Menhaden (4yr)",Anchovy-silverside-killifish,Mullet,Butterfish,Cephalopod,"Pink shrimp","Brown shrimp","White shrimp",Crab,"Sessile epifauna","Mobile epifauna",Zooplankton,Infauna,Algae,Seagrass,Phytoplankton,Detritus
387,0.01730374,0.1197535,0.07006563,0.01898385,0.01178209,0.05157411,0.01218283,0.0001076149,0.03404538,0.04190866,0.001817491,0.002322466,0.0003442781,0.01891329,0.001758617,0.0002730136,0.001681785,0.0956073,0.01544693,0.006147263,0.0002424941,0.03622445,0.0003260199,0.01711234,0.04760597,0.000812973,0.006091009,0.0005818547,0.006005774,2.673037E-05,0.01343851,0.0004511274,0.005440035,0.002237403,0.0007806559,0.007270959,0.009627338,0.06296869,0.007165041,0.0133833,0.1116989,0.04531906,0.07033888,0.0450277,0.02201563,0.1567328,0.1923142,0.06731863,0.3654489,0.003084353,0.03179572,0.1564677,0.01822808,0.08124064,0.05451127,0.04462408,1.009654,0.8215972,2.636644,1.711093,0.5779611,0.200524,0.7479264,0.2142984,0.04193809,1.976136,0.009074399,0.01622473,0.09508847,0.1922264,6.542381,9.688667,21.23378,22.03658,40.23598,3.513693,32.9198,70.54052
388,0.01731262,0.1197696,0.07006475,0.01898759,0.01178492,0.05157487,0.0121833,0.000106661,0.0340341,0.04191454,0.001850679,0.002329285,0.0003359929,0.01896355,0.001707299,0.0002693757,0.001662029,0.09529881,0.01534698,0.006154591,0.000242831,0.03624809,0.0003329469,0.01735942,0.0475916,0.0008118954,0.006089441,0.0005813232,0.006004189,2.668736E-05,0.01343695,0.0004522824,0.005442686,0.002224662,0.0007858578,0.007288582,0.009635962,0.06297871,0.007160444,0.01336941,0.1114111,0.04525832,0.07033888,0.04497277,0.02201871,0.1566491,0.1923823,0.06732474,0.3646191,0.003083268,0.03183798,0.1563913,0.01822162,0.08116368,0.05455538,0.04463146,1.009053,0.8145754,2.66104,1.707603,0.577652,0.1996334,0.7476866,0.2141603,0.04193329,1.976339,0.009085906,0.01628544,0.09518727,0.1927086,6.542461,9.689191,21.22699,22.03604,40.2346,3.51326,32.9181,70.53764
389,0.01732146,0.1197862,0.07006397,0.01899135,0.01178778,0.05157574,0.01218374,0.0001057121,0.03402268,0.04192037,0.001884348,0.002336029,0.0003280436,0.0190137,0.00165844,0.0002657977,0.001642528,0.09499235,0.01525072,0.006161711,0.0002435516,0.03627261,0.0003408151,0.01760775,0.04757763,0.000811018,0.006087908,0.0005810244,0.006002267,2.669551E-05,0.0134347,0.0004534195,0.005445293,0.002212669,0.0007909262,0.007304952,0.009646225,0.06298886,0.007156072,0.01335581,0.1111307,0.04520772,0.07033941,0.04491955,0.02202131,0.1565708,0.1924471,0.06733307,0.3637963,0.003082233,0.03187923,0.1563171,0.01821605,0.08108887,0.05460018,0.04464207,1.008481,0.8167647,2.6716,1.703117,0.5780506,0.1992737,0.7474517,0.2140249,0.04193019,1.976371,0.009095085,0.01632488,0.09526314,0.1931772,6.542509,9.689658,21.22173,22.03516,40.23351,3.51291,32.91746,70.5341
390,0.01733029,0.1198034,0.07006311,0.01899512,0.01179064,0.05157638,0.01218411,0.0001047704,0.03401126,0.04192612,0.001918055,0.002342708,0.0003204284,0.0190638,0.00161197,0.0002622865,0.001623326,0.09468898,0.01515859,0.006168564,0.0002442147,0.03629144,0.0003489764,0.01785938,0.0475639,0.0008100174,0.006086638,0.0005807588,0.006000234,2.666919E-05,0.01343291,0.0004545381,0.005447836,0.002201422,0.0007952056,0.007322281,0.009657289,0.06299908,0.007151946,0.01334266,0.1108556,0.04516466,0.07034042,0.04486805,0.02202348,0.1564976,0.1925068,0.06734233,0.3629823,0.003081235,0.03191933,0.1562454,0.01821123,0.08101583,0.05464559,0.04465403,1.007931,0.8223798,2.683676,1.695649,0.5774253,0.1993979,0.7472203,0.2138942,0.04192903,1.976249,0.009102243,0.01635014,0.09532052,0.1936272,6.542516,9.689981,21.21589,22.03398,40.23258,3.511325,32.91679,70.53194
391,0.01733902,0.1198208,0.07006217,0.01899888,0.01179353,0.051577,0.01218443,0.0001038365,0.03399979,0.04193192,0.001952076,0.002349318,0.0003131312,0.01911404,0.00156772,0.0002588412,0.001604436,0.09438857,0.01507045,0.00617511,0.0002447958,0.03630939,0.0003561642,0.01811212,0.04755046,0.0008096672,0.006084824,0.0005815658,0.005997672,2.662228E-05,0.01343101,0.0004556388,0.005450321,0.002190887,0.0007976543,0.007341372,0.009669283,0.06300908,0.007148038,0.01332991,0.1105854,0.04512381,0.07034191,0.04481928,0.02202519,0.1564285,0.1925619,0.0673507,0.3621745,0.003080284,0.03195832,0.156176,0.01820716,0.08094434,0.05469164,0.04466673,1.007405,0.829417,2.688975,1.697046,0.5783522,0.1999797,0.7469918,0.2137685,0.04192914,1.975987,0.00910776,0.01636629,0.09536298,0.1940573,6.542541,9.689915,21.20643,22.03254,40.23117,3.509797,32.91478,70.53024
392,0.0173477,0.1198388,0.07006127,0.01900261,0.01179641,0.0515777,0.01218467,0.0001029101,0.03398822,0.04193766,0.001986499,0.002355851,0.0003061365,0.01916429,0.001525581,0.0002554602,0.00158586,0.09409139,0.0149862,0.006181352,0.0002453002,0.03632752,0.0003626553,0.01837036,0.0475372,0.0008091452,0.006083494,0.0005820977,0.005995934,2.657933E-05,0.01342907,0.0004567232,0.005452757,0.002181011,0.0008008642,0.007360329,0.009680085,0.06301894,0.007144346,0.01331755,0.11032,0.04508749,0.0703437,0.0447715,0.02202654,0.1563638,0.1926105,0.06735865,0.3613707,0.003079379,0.03199608,0.156108,0.01820368,0.08087378,0.05473832,0.04467981,1.006894,0.82371,2.689405,1.714784,0.5788667,0.199297,0.7467582,0.2136466,0.04192967,1.975585,0.009111942,0.01637662,0.09539392,0.1944674,6.542519,9.689702,21.19817,22.031,40.23021,3.508714,32.91418,70.52618
393,0.01735639,0.1198573,0.07006029,0.01900641,0.01179932,0.05157883,0.01218489,0.0001019917,0.03397681,0.04194337,0.002021339,0.002362316,0.0002994323,0.01921474,0.001485475,0.0002521482,0.001567585,0.093798,0.01490564,0.00618729,0.0002461066,0.03634808,0.000369102,0.0186325,0.04752408,0.0008084095,0.006082514,0.0005827217,0.005994107,2.65511E-05,0.0134272,0.0004577913,0.005455146,0.002171905,0.0008043463,0.007376095,0.009693356,0.06302852,0.007140855,0.01330556,0.110061,0.04505771,0.07034577,0.04472503,0.02202752,0.1563018,0.1926537,0.06736753,0.3605707,0.003078513,0.03203255,0.1560407,0.01820064,0.0808037,0.05478562,0.04469318,1.006395,0.8143249,2.708782,1.711159,0.5798599,0.199986,0.7465207,0.2135271,0.04192981,1.975083,0.009115111,0.01638321,0.09541518,0.1948577,6.542479,9.689571,21.19343,22.0295,40.22979,3.50849,32.91475,70.52328
394,0.01736507,0.1198757,0.07005926,0.01901023,0.01180222,0.05157997,0.01218505,0.0001010813,0.0339655,0.04194912,0.002056586,0.002368714,0.0002929972,0.01926539,0.001447232,0.0002489097,0.001549628,0.09350842,0.01482856,0.00619295,0.0002466712,0.03636751,0.0003763596,0.01889786,0.04751123,0.0008070253,0.006082265,0.000583048,0.005992891,2.657754E-05,0.0134253,0.0004588431,0.005457488,0.002163392,0.0008066819,0.007392714,0.009707779,0.06303792,0.007137546,0.01329396,0.1098078,0.04503379,0.07034847,0.04468074,0.02202812,0.1562427,0.1926915,0.06737787,0.359772,0.003077692,0.03206797,0.1559748,0.01819811,0.08073462,0.05483339,0.04470678,1.005911,0.8157962,2.719349,1.702907,0.5813598,0.2000535,0.7462845,0.2134108,0.04193015,1.974524,0.009117493,0.01638755,0.09542903,0.1952297,6.542462,9.689541,21.19074,22.02816,40.22956,3.508584,32.91503,70.52299
395,0.01737366,0.1198947,0.07005833,0.01901405,0.01180514,0.05158095,0.01218514,0.0001001787,0.03395414,0.04195481,0.002092262,0.002375043,0.0002868144,0.01931614,0.001410695,0.0002457379,0.001531976,0.09322179,0.0147548,0.006198316,0.0002469156,0.03638135,0.0003815887,0.01916624,0.04749843,0.0008063596,0.006081569,0.0005833068,0.005992059,2.655638E-05,0.01342401,0.0004598767,0.00545979,0.002155386,0.0008075929,0.007414713,0.009718914,0.06304717,0.00713441,0.01328275,0.1095595,0.0450125,0.07035118,0.04463731,0.02202841,0.1561871,0.192726,0.0673881,0.3589763,0.003076905,0.03210224,0.1559108,0.01819604,0.08066683,0.05488168,0.04472046,1.005447,0.8212762,2.720474,1.704164,0.5805237,0.1999633,0.7460542,0.2132983,0.04193112,1.973945,0.00911925,0.01639073,0.09543934,0.1955837,6.542476,9.689392,21.18661,22.02689,40.22885,3.507716,32.91433,70.52345
396,0.01738216,0.1199139,0.07005734,0.01901778,0.01180807,0.05158169,0.0121852,9.92839E-05,0.03394275,0.04196057,0.002128354,0.002381306,0.0002808665,0.01936696,0.001375775,0.0002426327,0.001514606,0.0929383,0.01468426,0.006203372,0.000246814,0.03639707,0.0003865378,0.0194406,0.0474858,0.0008052487,0.006081318,0.0005853012,0.005989413,2.652377E-05,0.01342273,0.0004608952,0.005462029,0.002147834,0.0008073362,0.007438098,0.009729702,0.06305623,0.007131437,0.01327182,0.1093141,0.04499156,0.07035451,0.04459487,0.02202848,0.1561342,0.1927556,0.06739703,0.3581831,0.003076156,0.0321355,0.1558482,0.01819438,0.08060023,0.05493038,0.04473433,1.004995,0.8209898,2.738758,1.691813,0.5825161,0.1992577,0.7458307,0.213189,0.041933,1.973328,0.009120542,0.0163932,0.09544684,0.1959213,6.542511,9.689032,21.18268,22.02576,40.22834,3.507415,32.91402,70.52238
