Year,"Coastal dolphins","Offshore dolphins","Baleen whales",Seabird,"Sea turtle","Blacktip shark","Dusky shark","Sandbar shark","Large coastal sharks","Large oceanic sharks","Atlantic sharpnose shark","Small coastal sharks","Yellowfin tuna","Bluefin tuna","Other tunas",Billfish,Swordfish,"Pelagic coastal piscivores",Amberjack,Cobia,"King mackerel (0-1yr)","King mackerel (1+yr)","Spanish mackerel (0-1yr)","Spanish mackerel (1+yr)",Skates-rays,"Gag grouper (0-3yr)","Gag grouper (3+yr)","Red grouper (0-3yr)","Red grouper (3+yr)","Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)","Goliath grouper","Deep-water grouper","Shallow-water grouper","Red snapper (0yr)","Red snapper (1-2yr)","Red snapper (3+yr)","Vermilion snapper","Mutton snapper","Other snapper","Inshore coastal piscivores","Sea trout","Oceanic piscivores","Benthic piscivores","Reef piscivores","Reef invertebrate feeders","Demersal coastal invertebrate feeders","Red drum","Benthic coastal invertebrate feeders",Tilefish,"Gray triggerfish","Coastal omnivores","Reef omnivores","Surface pelagics","Large oceanic planktivores","Oceanic planktivores",Sardine-herring-scad,"Menhaden (0yr)","Menhaden (1yr)","Menhaden (2yr)","Menhaden (3yr)","Menhaden (4yr)",Anchovy-silverside-killifish,Mullet,Butterfish,Cephalopod,"Pink shrimp","Brown shrimp","White shrimp",Crab,"Sessile epifauna","Mobile epifauna",Zooplankton,Infauna,Algae,Seagrass,Phytoplankton,Detritus
11,0.02133058,0.1276462,0.06507885,0.02574476,0.02079572,0.08959699,0.01715884,0.0009087923,0.05205298,0.02625634,3.000541E-05,0.001729358,0.007411154,0.001785067,0.0002883126,0.0008800207,0.00786811,0.1206172,0.02539184,0.008195695,0.0003839037,0.06564529,3.603756E-05,0.003017838,0.06808691,0.0005691636,0.004407863,0.0001461441,0.001104885,3.298793E-05,0.01459544,0.0001233695,0.007309489,0.0003551031,0.0008236311,0.0078936,0.01498482,0.08944586,0.006386139,0.0203669,0.1486591,0.05348613,0.03917656,0.05190105,0.04157129,0.2345431,0.1854693,0.09142571,0.3766179,0.003633788,0.03091072,0.2177314,0.02529389,0.1387459,0.03746178,0.02687554,1.34764,1.266359,4.189242,2.579423,0.7905381,0.2624479,0.9660757,0.2426666,0.08414871,2.463829,0.001238105,0.01858075,0.167916,0.2447016,10.58971,11.2956,24.23415,26.51221,49.47554,1.393925E-22,39.85942,84.4007
12,0.02145471,0.1287172,0.06512562,0.02590336,0.02078373,0.08975551,0.01722647,0.0008871019,0.05182406,0.02628265,1.836864E-05,0.001667507,0.007005627,0.001885324,0.0002463138,0.0008642774,0.007543654,0.1274938,0.02658396,0.008011704,0.0003818106,0.06525724,2.278402E-05,0.002256009,0.06834026,0.0005774135,0.004435713,0.0001472851,0.001106185,3.306247E-05,0.01486576,0.0001233388,0.007326692,0.000352774,0.0007248684,0.007726545,0.0138518,0.08922315,0.006366817,0.02061906,0.1502615,0.05239897,0.03935699,0.05241888,0.04259437,0.2343364,0.1835546,0.09252658,0.3798256,0.003631212,0.03069314,0.2176148,0.02524204,0.1363097,0.03791777,0.02685367,1.344344,1.223034,4.725751,2.577592,0.7804452,0.2664141,0.9645336,0.2477859,0.08345347,2.404322,0.001219267,0.01560842,0.1653151,0.2311413,10.56457,11.27803,24.03045,26.46672,49.43025,1.398204E-22,39.83101,84.31757
13,0.02156316,0.1296765,0.06515018,0.02604477,0.02075652,0.08975514,0.01727255,0.0008406182,0.05138358,0.02631082,1.001114E-05,0.001553201,0.006221982,0.001974465,0.0001969442,0.0007836828,0.006963521,0.1308518,0.02680237,0.007472913,0.0003684622,0.06414259,1.404135E-05,0.001631631,0.06837744,0.000556668,0.004376657,0.0001477427,0.001089756,3.341968E-05,0.01506498,0.0001221975,0.007225093,0.000332376,0.0006292037,0.006925314,0.01284234,0.08858817,0.006287219,0.02036982,0.1501919,0.04968532,0.03955429,0.05154014,0.04167862,0.2317039,0.1757637,0.09155486,0.3829773,0.003603738,0.02939896,0.2163194,0.025269,0.1337502,0.03841717,0.02699513,1.340528,1.054286,4.479215,2.849299,0.7934367,0.2689545,0.9695308,0.2512792,0.08301846,2.379388,0.001203519,0.01528691,0.1631404,0.2141221,10.5603,11.28421,24.18244,26.51423,49.45615,1.394336E-22,39.85513,84.36358
14,0.02168872,0.1305444,0.06517088,0.02617057,0.02071855,0.08976842,0.01731531,0.0007851896,0.05104216,0.02634192,5.43192E-06,0.001433543,0.005388738,0.002055547,0.0001999793,0.0006980803,0.006470433,0.1345475,0.0246168,0.006995041,0.0003639366,0.0635693,1.15174E-05,0.001164961,0.06856992,0.0005372504,0.004281052,0.0001471831,0.001077035,3.415197E-05,0.0152613,0.0001217277,0.007144085,0.0003119779,0.0005951513,0.006020028,0.01178925,0.08813626,0.006243797,0.02014782,0.1516031,0.04932015,0.03982541,0.05147791,0.04113311,0.2314279,0.1740673,0.0909133,0.3878597,0.003616968,0.02843923,0.2166344,0.02541299,0.1326839,0.03899335,0.02736751,1.343106,0.8602949,4.261898,2.749988,0.8596942,0.2679575,0.9769406,0.254115,0.08290774,2.408326,0.001207561,0.01537433,0.1637851,0.2018562,10.57307,11.31133,24.41445,26.58714,49.49691,1.390354E-22,39.88581,84.43722
15,0.02183969,0.1313309,0.0651954,0.02630448,0.02068199,0.08981979,0.01735887,0.0007226894,0.0508042,0.02637633,3.338942E-06,0.001354643,0.004347115,0.002110817,0.000227117,0.0006055813,0.005837614,0.137942,0.02133255,0.006705992,0.0003812779,0.06295118,1.223515E-05,0.000845045,0.06901374,0.000522458,0.004143596,0.000147235,0.001059804,3.449043E-05,0.01541984,0.0001220168,0.007083584,0.0002952796,0.0006094472,0.005821491,0.01050635,0.08830378,0.006231106,0.01995944,0.1533139,0.05040943,0.04012131,0.0523149,0.04076011,0.232533,0.1795253,0.09135029,0.3930605,0.003660269,0.02869144,0.2177658,0.02558039,0.1322252,0.03963749,0.02786692,1.348957,0.9812797,4.123397,2.703225,0.8200235,0.2798317,0.9794424,0.2568863,0.08277633,2.441149,0.001230599,0.01869556,0.1670345,0.2015923,10.58636,11.32296,24.40311,26.60523,49.4969,1.390804E-22,39.87957,84.43889
16,0.02200021,0.1320536,0.06521682,0.02644677,0.02066285,0.08991057,0.01740875,0.0006646535,0.0506681,0.02641417,2.325839E-06,0.001323213,0.003274999,0.002144624,0.0002646497,0.0005207168,0.004966499,0.1419331,0.01907028,0.00656714,0.0003856982,0.06224982,1.168756E-05,0.0006619336,0.06964465,0.00051518,0.004022768,0.0001456362,0.001048122,3.482672E-05,0.01553073,0.0001223963,0.00702914,0.0002886894,0.0006085943,0.006133354,0.009486263,0.08873892,0.006247194,0.01985733,0.1551845,0.05197681,0.04044358,0.05366096,0.04038649,0.2337378,0.1867124,0.09252498,0.3966944,0.003726805,0.02965717,0.2186166,0.02576402,0.1312242,0.04036764,0.02855342,1.35457,1.352357,4.408163,2.658085,0.8209751,0.2765316,0.9775845,0.260276,0.08262862,2.42094,0.001240987,0.02003238,0.1688891,0.2170079,10.58714,11.31148,24.14173,26.53676,49.44308,1.396704E-22,39.83229,84.34731
17,0.02215333,0.1326952,0.06522036,0.0266044,0.02067357,0.09010764,0.01747497,0.0006162308,0.05064929,0.02645526,1.658538E-06,0.001311056,0.002675686,0.00219445,0.0004022436,0.0004698157,0.004291052,0.1481716,0.01781966,0.006539553,0.0003758972,0.06153759,8.620055E-06,0.0005488134,0.07037312,0.0005172405,0.003970456,0.0001478611,0.001053217,3.565221E-05,0.01561232,0.0001237317,0.007006871,0.0002894938,0.0005642707,0.00630459,0.008981916,0.08903117,0.006292857,0.0199605,0.1577609,0.05279754,0.0407371,0.055262,0.04045289,0.2346891,0.1882017,0.09379906,0.3979761,0.003801826,0.03016404,0.2185315,0.02590796,0.1290665,0.04114081,0.02921088,1.358117,1.174548,4.806633,2.659321,0.8111233,0.274814,0.9747724,0.264243,0.0822074,2.363823,0.001234653,0.01796331,0.1677811,0.2450701,10.57983,11.27923,23.99376,26.45129,49.41849,1.39843E-22,39.82197,84.29404
18,0.02229329,0.1331909,0.06520855,0.02674071,0.02072076,0.09025443,0.01754541,0.0005678594,0.05062667,0.02649768,1.096961E-06,0.001282324,0.002364407,0.002263435,0.0006646721,0.0004316058,0.003845245,0.1539855,0.0168135,0.006461291,0.0003550825,0.06077727,5.479273E-06,0.0004457428,0.07111654,0.0005094284,0.003896972,0.0001481194,0.001053891,3.562922E-05,0.01568558,0.0001248087,0.006961671,0.0002829974,0.0004985295,0.005896635,0.008785076,0.08880862,0.006328905,0.01998187,0.159088,0.05133151,0.04092908,0.05626811,0.0400943,0.233914,0.1822663,0.09363884,0.3987327,0.003856408,0.02942514,0.2177239,0.02601187,0.1267021,0.04187684,0.02964001,1.357641,0.958432,4.387229,2.883604,0.8002,0.2732701,0.9771175,0.2680079,0.08161654,2.356967,0.001212265,0.01606446,0.1646475,0.2751533,10.58938,11.28377,24.30604,26.45482,49.47029,1.392295E-22,39.86852,84.3892
19,0.02244946,0.1335523,0.06520224,0.02687198,0.02080172,0.09041456,0.01762884,0.0005265059,0.05065883,0.02653988,6.9319E-07,0.001251076,0.002152743,0.002350671,0.001044555,0.0004071352,0.003565745,0.1602828,0.01629523,0.006448111,0.000346705,0.06064573,4.24498E-06,0.0003397287,0.07202937,0.0005164192,0.003848861,0.0001519344,0.001047837,3.611907E-05,0.01575946,0.0001248078,0.006946509,0.0002845936,0.0004638821,0.005215216,0.008740726,0.08845738,0.006367888,0.02009118,0.1609236,0.0506092,0.04102445,0.05726678,0.04042114,0.2342543,0.1780217,0.09337034,0.4012511,0.003900548,0.02842201,0.2177448,0.02612692,0.1253778,0.0425358,0.0299155,1.356034,0.8992398,4.139332,2.754545,0.8713297,0.2704321,0.9794426,0.270925,0.08125731,2.401446,0.001206777,0.01520524,0.1635664,0.2972391,10.60657,11.29523,24.45848,26.46408,49.49951,1.389989E-22,39.88378,84.44044
20,0.02261759,0.1337785,0.06519986,0.02701155,0.02090766,0.09069156,0.01773964,0.000502223,0.05087065,0.02658074,5.071117E-07,0.001276276,0.00195301,0.002444762,0.001534816,0.0004021347,0.003309915,0.1685728,0.01644268,0.006688269,0.0003582246,0.06088501,4.891319E-06,0.0002527067,0.07304247,0.0005243527,0.003856955,0.0001540698,0.001044135,3.575147E-05,0.01581259,0.0001245698,0.006973072,0.0002974495,0.0005109102,0.004967107,0.008835727,0.0887735,0.00642419,0.02039946,0.1632519,0.05234946,0.04102581,0.05894607,0.04140991,0.2359319,0.1822609,0.09464186,0.403267,0.003959093,0.02883895,0.2182786,0.02612132,0.1236032,0.04308716,0.03003227,1.349908,1.197986,4.280167,2.700878,0.8375061,0.2845285,0.9749807,0.2726634,0.08087698,2.411928,0.001236255,0.0168666,0.1667541,0.3122781,10.61129,11.28575,24.28272,26.41664,49.46461,1.393077E-22,39.85092,84.38185
