Year,"Coastal dolphins","Offshore dolphins","Baleen whales",Seabird,"Sea turtle","Blacktip shark","Dusky shark","Sandbar shark","Large coastal sharks","Large oceanic sharks","Atlantic sharpnose shark","Small coastal sharks","Yellowfin tuna","Bluefin tuna","Other tunas",Billfish,Swordfish,"Pelagic coastal piscivores",Amberjack,Cobia,"King mackerel (0-1yr)","King mackerel (1+yr)","Spanish mackerel (0-1yr)","Spanish mackerel (1+yr)",Skates-rays,"Gag grouper (0-3yr)","Gag grouper (3+yr)","Red grouper (0-3yr)","Red grouper (3+yr)","Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)","Goliath grouper","Deep-water grouper","Shallow-water grouper","Red snapper (0yr)","Red snapper (1-2yr)","Red snapper (3+yr)","Vermilion snapper","Mutton snapper","Other snapper","Inshore coastal piscivores","Sea trout","Oceanic piscivores","Benthic piscivores","Reef piscivores","Reef invertebrate feeders","Demersal coastal invertebrate feeders","Red drum","Benthic coastal invertebrate feeders",Tilefish,"Gray triggerfish","Coastal omnivores","Reef omnivores","Surface pelagics","Large oceanic planktivores","Oceanic planktivores",Sardine-herring-scad,"Menhaden (0yr)","Menhaden (1yr)","Menhaden (2yr)","Menhaden (3yr)","Menhaden (4yr)",Anchovy-silverside-killifish,Mullet,Butterfish,Cephalopod,"Pink shrimp","Brown shrimp","White shrimp",Crab,"Sessile epifauna","Mobile epifauna",Zooplankton,Infauna,Algae,Seagrass,Phytoplankton,Detritus
11,0.01465738,0.1123669,0.07025483,0.01719502,0.01124963,0.05094244,0.01183511,0.0006487932,0.03740758,0.04051003,0.001972278,0.001623642,0.006891989,0.005529512,0.0006412159,0.00222381,0.01031361,0.07219774,0.0206449,0.007351008,0.000231746,0.03934185,0.0001365866,0.009537161,0.04157444,0.0008774666,0.006220718,0.0005516725,0.004776928,2.464586E-05,0.01058377,0.0002886874,0.006110506,0.002773933,0.0006005942,0.005275965,0.01056838,0.05815208,0.006937078,0.01418995,0.1139375,0.04715974,0.06559945,0.0438793,0.02792688,0.1624391,0.1560484,0.06774222,0.3675888,0.00270631,0.02164032,0.1637878,0.01741675,0.09759694,0.0440893,0.04016853,1.037155,0.8446398,2.654603,1.670179,0.5550281,0.1914296,0.7489159,0.2106663,0.04419307,2.015302,0.008181362,0.01006567,0.08804951,0.1580548,6.54822,9.681724,21.15609,22.07657,40.23547,3.51671,32.92218,70.54064
12,0.01474806,0.1134255,0.07028437,0.01728441,0.01121749,0.05096465,0.01186036,0.0006316535,0.03719692,0.0405618,0.001719656,0.001582461,0.006489317,0.005950689,0.0005873351,0.002166625,0.009882237,0.07608613,0.02157159,0.007310625,0.0002286246,0.03935241,0.000105101,0.008589805,0.04173768,0.0008933239,0.006251669,0.0005545569,0.004787935,2.405824E-05,0.01094199,0.0002875275,0.006121367,0.002813104,0.0005467017,0.005191796,0.009873996,0.05802631,0.006924723,0.01437116,0.1153708,0.04585768,0.06589086,0.04430545,0.02874389,0.162563,0.1547924,0.06862989,0.3721407,0.002704635,0.02152052,0.1639401,0.01740277,0.09692552,0.04460976,0.04016827,1.038295,0.823086,2.773838,1.660885,0.5578875,0.1929098,0.7505649,0.2162462,0.04386069,1.997218,0.008030646,0.008536426,0.08677412,0.1493361,6.538967,9.677756,21.12091,22.07272,40.22624,3.503147,32.91649,70.52013
13,0.01483912,0.1143996,0.07029924,0.01736975,0.01118021,0.05091286,0.01187411,0.0005999487,0.03687366,0.0406146,0.001412668,0.001505255,0.005727253,0.006354639,0.0005194088,0.001994639,0.009109163,0.07816151,0.02183952,0.006966174,0.0002221172,0.03890382,7.881509E-05,0.007602696,0.04179361,0.0008771354,0.006191162,0.0005567998,0.004753037,2.434682E-05,0.01129801,0.0002843216,0.006055264,0.002730735,0.0004940655,0.004773874,0.009226079,0.05767377,0.006857611,0.01424215,0.1156532,0.0432316,0.06623938,0.04379456,0.02840552,0.1611033,0.148543,0.06805751,0.3766227,0.002687897,0.02077378,0.1633137,0.01742611,0.09608027,0.04518209,0.0403708,1.038393,0.812152,2.718133,1.735538,0.5614193,0.1948449,0.7542152,0.2202832,0.04364543,1.987507,0.007897128,0.008343099,0.08571047,0.138524,6.537427,9.680545,21.1461,22.09068,40.22969,3.50583,32.92005,70.5273
14,0.01493869,0.1153099,0.07030724,0.01745222,0.01113942,0.05087383,0.01188692,0.0005625107,0.03661091,0.04066977,0.001169314,0.001420644,0.004938427,0.006767081,0.0005385966,0.001806402,0.008444112,0.08045425,0.0204209,0.006670849,0.0002220477,0.0385317,7.481762E-05,0.006675801,0.0419266,0.0008571243,0.006086939,0.0005568336,0.004727032,2.482718E-05,0.01165886,0.0002823253,0.006000943,0.002631726,0.0004752719,0.004324946,0.008523415,0.0574282,0.006820304,0.01412627,0.117001,0.04304608,0.0667176,0.04381661,0.0282504,0.1609496,0.1467774,0.0678032,0.3818865,0.002698901,0.02018344,0.1635402,0.01752202,0.09570596,0.04584442,0.04086218,1.042005,0.7639735,2.702624,1.703029,0.5805643,0.1945416,0.7586659,0.2231096,0.04360479,1.990162,0.007922288,0.008390108,0.0860121,0.1301092,6.540291,9.686784,21.18947,22.1139,40.23577,3.519779,32.92462,70.54275
15,0.01504839,0.1161506,0.07031124,0.01753747,0.01110009,0.05086087,0.01190133,0.0005203323,0.03641804,0.04072824,0.001039872,0.001358455,0.003957756,0.007117613,0.0005943209,0.001587519,0.007579867,0.0826257,0.0180646,0.00651546,0.0002288071,0.03808996,8.788172E-05,0.005989211,0.04217398,0.000843114,0.005931215,0.0005581014,0.0046735,2.546688E-05,0.01197448,0.000281058,0.005957583,0.002523793,0.0004796131,0.004225061,0.00769768,0.05751355,0.006807101,0.01401903,0.1183434,0.04405989,0.06724469,0.0444505,0.02817627,0.1616282,0.1504125,0.06819273,0.3869554,0.002730294,0.02026395,0.1641393,0.01764378,0.09544995,0.04658026,0.04147099,1.047403,0.7827561,2.644876,1.70321,0.5667589,0.1980652,0.7616915,0.225725,0.04355019,1.994627,0.008124071,0.01010283,0.087621,0.1287138,6.543474,9.695973,21.20667,22.12254,40.23666,3.520726,32.92235,70.5443
16,0.01516569,0.116929,0.07031086,0.01762682,0.01106977,0.05087903,0.01191958,0.0004807356,0.03629433,0.04078989,0.0009918204,0.001327281,0.002937186,0.007394508,0.0006674994,0.001364576,0.006389152,0.08528352,0.01631049,0.006461815,0.0002322799,0.0377712,9.683577E-05,0.005719118,0.04252696,0.0008353461,0.005788301,0.000560843,0.004623163,2.62187E-05,0.01222521,0.0002796421,0.005917027,0.002461551,0.000474509,0.004380046,0.007069747,0.05775907,0.006818265,0.01396221,0.1196831,0.04534595,0.06783545,0.04548062,0.0280946,0.1624463,0.1558657,0.06903376,0.3908935,0.002778328,0.02079869,0.1647135,0.0177873,0.09498527,0.04741671,0.04230164,1.052623,0.8367281,2.704711,1.687473,0.5714985,0.1969757,0.7628095,0.2293931,0.04345533,1.989676,0.0082498,0.01081844,0.08856475,0.1370682,6.543822,9.69638,21.16481,22.10354,40.22673,3.507912,32.91349,70.52341
17,0.01528774,0.1176292,0.07030401,0.01772269,0.01105464,0.05095537,0.01194754,0.0004470668,0.0362503,0.0408553,0.0009481705,0.001308918,0.002363606,0.007721791,0.0008938513,0.001213449,0.005454309,0.08942641,0.0152615,0.006479325,0.0002281303,0.03763149,8.639425E-05,0.005719799,0.04298198,0.0008382702,0.00573713,0.0005664579,0.004647348,2.689642E-05,0.01242274,0.0002807687,0.00589834,0.002446512,0.0004489312,0.004460497,0.006765384,0.05792449,0.006860659,0.01403642,0.1218997,0.04605569,0.06840312,0.04673599,0.02828198,0.1632071,0.1576645,0.06996398,0.3933001,0.002834002,0.0211047,0.1649995,0.01791398,0.0940584,0.04830311,0.04309916,1.057021,0.8045847,2.767023,1.690306,0.5660059,0.1971107,0.7622707,0.2341628,0.04325222,1.977136,0.008193037,0.009778663,0.08805708,0.1535799,6.542715,9.686381,21.14367,22.07242,40.22241,3.505272,32.91225,70.51241
18,0.01540966,0.1182179,0.07029115,0.01781589,0.01105745,0.05102294,0.01198026,0.0004137066,0.03621211,0.04092295,0.000856745,0.001279948,0.002072571,0.00812824,0.001277821,0.001104858,0.004830802,0.09351134,0.01441659,0.006427091,0.0002184281,0.03733131,6.645641E-05,0.005660649,0.04347716,0.000832259,0.005669765,0.0005682539,0.004671503,2.744692E-05,0.01258765,0.000282133,0.005866334,0.00240389,0.0004114994,0.004232788,0.006628016,0.05781539,0.006902555,0.01406432,0.1236244,0.04488071,0.06883115,0.04763887,0.02820523,0.1629075,0.1535035,0.07004872,0.3948568,0.002877541,0.02069353,0.164729,0.01800074,0.09279376,0.04913795,0.04360882,1.058454,0.7498804,2.67837,1.732326,0.5650734,0.1962708,0.762039,0.2384598,0.04297033,1.973545,0.008006788,0.00878413,0.08650735,0.1717454,6.545733,9.682673,21.21305,22.05705,40.23398,3.504842,32.92353,70.53412
19,0.0155354,0.1186819,0.07027588,0.01790792,0.01107647,0.05109595,0.01202155,0.0003845848,0.03620741,0.04099085,0.0007451179,0.001249978,0.001877387,0.008610941,0.001775707,0.001025968,0.004430024,0.09783003,0.01392798,0.00643173,0.0002134333,0.03714071,5.844376E-05,0.005385095,0.04403694,0.0008407916,0.005624361,0.0005717166,0.004670227,2.778715E-05,0.01273641,0.0002814423,0.005853774,0.002400941,0.0003926817,0.003883906,0.006578719,0.05761884,0.006946491,0.01413503,0.125186,0.04449049,0.06910903,0.04852163,0.02850221,0.1630912,0.1502052,0.07006574,0.397034,0.002914055,0.02007894,0.1646906,0.01807803,0.09162446,0.04987067,0.04391244,1.057811,0.7862862,2.632893,1.708806,0.5805054,0.1961339,0.7616882,0.2413589,0.04275736,1.978905,0.007933763,0.008332829,0.08596373,0.1853967,6.550616,9.677999,21.22161,22.04317,40.23555,3.51318,32.92187,70.5395
20,0.01566126,0.119012,0.07025698,0.01800091,0.01110762,0.0512265,0.01207879,0.0003659976,0.03630668,0.04105728,0.0006858255,0.001258307,0.001692778,0.009127595,0.002355635,0.0009796264,0.004066238,0.103304,0.01395603,0.006651588,0.0002206697,0.03710421,7.05888E-05,0.00510498,0.04462732,0.0008581929,0.00562799,0.0005771416,0.004645778,2.791154E-05,0.01284877,0.0002796908,0.005868886,0.00248037,0.0004202822,0.003771808,0.00666294,0.05775898,0.00700278,0.01432649,0.1267176,0.04627683,0.06923073,0.0498535,0.02920868,0.1640578,0.153319,0.07107768,0.3984576,0.002958633,0.02023914,0.1648775,0.01808633,0.09009656,0.05047142,0.04402311,1.054003,0.8370743,2.716518,1.690693,0.5732638,0.1989693,0.7596951,0.2431403,0.0425375,1.972084,0.008117377,0.009200759,0.08752379,0.1949928,6.551312,9.667584,21.17062,22.02099,40.2252,3.520915,32.91336,70.52328
