TimeStep,"Coastal dolphins","Offshore dolphins","Baleen whales",Seabird,"Sea turtle","Blacktip shark","Dusky shark","Sandbar shark","Large coastal sharks","Large oceanic sharks","Atlantic sharpnose shark","Small coastal sharks","Yellowfin tuna","Bluefin tuna","Other tunas",Billfish,Swordfish,"Pelagic coastal piscivores",Amberjack,Cobia,"King mackerel (0-1yr)","King mackerel (1+yr)","Spanish mackerel (0-1yr)","Spanish mackerel (1+yr)",Skates-rays,"Gag grouper (0-3yr)","Gag grouper (3+yr)","Red grouper (0-3yr)","Red grouper (3+yr)","Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)","Goliath grouper","Deep-water grouper","Shallow-water grouper","Red snapper (0yr)","Red snapper (1-2yr)","Red snapper (3+yr)","Vermilion snapper","Mutton snapper","Other snapper","Inshore coastal piscivores","Sea trout","Oceanic piscivores","Benthic piscivores","Reef piscivores","Reef invertebrate feeders","Demersal coastal invertebrate feeders","Red drum","Benthic coastal invertebrate feeders",Tilefish,"Gray triggerfish","Coastal omnivores","Reef omnivores","Surface pelagics","Large oceanic planktivores","Oceanic planktivores",Sardine-herring-scad,"Menhaden (0yr)","Menhaden (1yr)","Menhaden (2yr)","Menhaden (3yr)","Menhaden (4yr)",Anchovy-silverside-killifish,Mullet,Butterfish,Cephalopod,"Pink shrimp","Brown shrimp","White shrimp",Crab,"Sessile epifauna","Mobile epifauna",Zooplankton,Infauna,Algae,Seagrass,Phytoplankton,Detritus
357,0.005385044,0.02879151,0.03812021,0.005322122,0.001362765,0.001998233,0.00184581,4.070035E-05,0.006214579,0.03870032,0.000461367,9.346961E-05,8.079688E-05,0.05193853,0.002345313,0.0009071737,0.0008927615,0.01522734,0.001788668,0.0001576782,7.234047E-06,0.001314141,5.466054E-05,0.002592999,0.002930234,0.0002461956,0.001138035,0.0002694042,0.00358137,6.40472E-06,0.005623251,0.0003255928,0.002300354,0.006349152,3.536328E-06,1.239964E-05,0.0003401017,0.00515049,0.0006013018,0.001983912,0.01599271,0.02636931,0.09006378,0.01378853,0.0008279082,0.01237375,0.0284007,0.00268448,0.1456558,0.00020809,0.0008236179,0.06270653,0.001864193,0.01141522,0.0222161,0.001406323,0.07260054,0.01762065,0.1168195,0.1081537,0.05193893,0.01577273,0.07313884,0.05710746,0.001853941,0.7055923,0.01262708,0.002586929,0.01276081,0.009880926,1.893999,2.154149,7.585213,6.682467,10.82845,2.566638,10.79175,22.5111
358,0.005386478,0.02879323,0.03811851,0.005323683,0.001362412,0.001997265,0.001845492,4.044319E-05,0.006213157,0.03870847,0.0004672082,9.369027E-05,8.035944E-05,0.05227303,0.002323685,0.0009005151,0.0008941208,0.01523818,0.001782942,0.0001575674,9.100609E-06,0.001318651,5.511671E-05,0.002626154,0.002933693,0.0002462025,0.001141892,0.000273372,0.003581297,6.415655E-06,0.005635947,0.0003263642,0.002301089,0.006353072,4.504511E-06,1.153285E-05,0.0003387335,0.005150945,0.0006015404,0.001984013,0.01598092,0.02638099,0.09005731,0.0138034,0.0008294833,0.01237286,0.0284737,0.002685142,0.1455521,0.0002081776,0.000826682,0.0627024,0.001863567,0.01139209,0.02223038,0.001406508,0.07256489,0.01767848,0.1272336,0.09326945,0.04939416,0.01635281,0.07311676,0.0570532,0.001853927,0.7057967,0.0126256,0.002582538,0.01275906,0.009877793,1.893996,2.155751,7.593277,6.683077,10.82856,2.565747,10.79068,22.51411
359,0.005387899,0.02879506,0.03811683,0.005325227,0.001362059,0.001996296,0.001845178,4.018775E-05,0.006211756,0.03871664,0.0004731146,9.391288E-05,7.992031E-05,0.05260881,0.002302615,0.0008938846,0.000895407,0.01524846,0.001777205,0.0001574526,8.690466E-06,0.001339344,6.293026E-05,0.002657871,0.002937146,0.0002532914,0.001133652,0.0002724287,0.003589371,6.411127E-06,0.005645616,0.0003271341,0.002301815,0.006356793,3.822421E-06,1.091699E-05,0.0003397453,0.005151396,0.0006017856,0.001984159,0.01596898,0.02639087,0.09005089,0.01381809,0.0008310632,0.0123728,0.02854601,0.002685792,0.145445,0.0002082641,0.0008297549,0.06269909,0.001863252,0.01136918,0.02224484,0.001406713,0.07252972,0.03010377,0.09109954,0.1010503,0.0561276,0.01650138,0.07309577,0.05700098,0.001853895,0.706012,0.01262499,0.00257904,0.01275733,0.009874591,1.89396,2.156906,7.595788,6.683509,10.82816,2.566286,10.78809,22.51406
360,0.005389329,0.02879702,0.03811516,0.00532675,0.001361706,0.00199531,0.001844865,3.993394E-05,0.006210363,0.03872484,0.0004790897,9.413627E-05,7.947955E-05,0.05294472,0.002282132,0.0008872829,0.0008966206,0.01525824,0.001771431,0.0001573317,8.97501E-06,0.00135596,5.834327E-05,0.002700081,0.00294057,0.0002504013,0.001139287,0.0002680742,0.003584622,6.395391E-06,0.005653143,0.0003279033,0.002302535,0.006360291,2.712307E-06,1.086057E-05,0.0003396868,0.005151833,0.0006020358,0.001984264,0.01595662,0.02639971,0.09004508,0.01383251,0.0008326473,0.01237301,0.02861692,0.002686271,0.1453284,0.0002083493,0.0008328205,0.06269483,0.001862903,0.01134576,0.02225949,0.001406935,0.07249442,0.03020132,0.1291037,0.1014381,0.05462409,0.01634005,0.0730719,0.05694925,0.001853935,0.7062232,0.01262413,0.002576167,0.01275531,0.009870924,1.893843,2.158184,7.600894,6.683815,10.82903,2.566923,10.7867,22.5104
361,0.005390762,0.02879908,0.03811351,0.005328281,0.001361351,0.001994373,0.001844577,3.971996E-05,0.00620924,0.03873306,0.0004854264,9.441259E-05,7.934253E-05,0.05336107,0.002262347,0.0008835731,0.000900914,0.01527635,0.001772736,0.0001572762,1.06328E-05,0.001346744,5.824174E-05,0.002715672,0.002944048,0.0002473157,0.001141272,0.0002671923,0.003575785,6.357513E-06,0.005658562,0.0003290173,0.002303817,0.006379473,1.822234E-06,1.080803E-05,0.0003417649,0.005152548,0.0006025592,0.001985687,0.0159475,0.02643698,0.09003948,0.01384895,0.0008347079,0.01237718,0.02870697,0.0026879,0.1452074,0.0002084683,0.0008362837,0.06269469,0.0018628,0.01132215,0.0222743,0.00140717,0.07245596,0.036811,0.1271566,0.09421824,0.05316383,0.01674403,0.07304581,0.05689742,0.001854024,0.7064371,0.01263363,0.002591412,0.01275566,0.009872372,1.893627,2.158713,7.599763,6.6839,10.8283,2.568182,10.7821,22.5095
362,0.005392184,0.02880126,0.03811188,0.005329816,0.001360995,0.001993452,0.001844302,3.952017E-05,0.006208214,0.03874133,0.0004919597,9.470907E-05,7.929938E-05,0.05380363,0.002243187,0.0008808156,0.0009061284,0.01529724,0.001776374,0.0001572427,1.072679E-05,0.001350303,6.558534E-05,0.002780011,0.002947527,0.0002444659,0.001144607,0.0002691788,0.003593434,6.453804E-06,0.005666632,0.0003302503,0.002305273,0.006403389,2.039071E-06,9.540107E-06,0.000342117,0.0051534,0.0006031771,0.001987533,0.01593907,0.02648202,0.09003378,0.01386626,0.0008369301,0.01238288,0.0288018,0.002689807,0.1450812,0.0002085975,0.0008398797,0.06269497,0.00186279,0.01129824,0.02228928,0.00140749,0.07241702,0.03412926,0.1285362,0.06804454,0.04354981,0.01638485,0.07301589,0.05684505,0.001854128,0.706638,0.01264447,0.002610372,0.01275595,0.009875391,1.893283,2.158721,7.593872,6.683764,10.82741,2.569574,10.77736,22.5041
363,0.005393556,0.02880356,0.03811025,0.005331328,0.001360638,0.001992509,0.001844035,3.932659E-05,0.006207248,0.03874964,0.000498633,9.501465E-05,7.92862E-05,0.05425673,0.00222457,0.0008783964,0.0009116164,0.01531901,0.001780804,0.0001572154,9.518469E-06,0.001347144,6.545117E-05,0.00281565,0.002950987,0.0002419343,0.001161276,0.0002682341,0.003617023,6.460747E-06,0.005676209,0.0003315228,0.002306779,0.006428357,2.384086E-06,8.291226E-06,0.0003417498,0.00515432,0.0006038305,0.001989539,0.01592969,0.02652335,0.09002798,0.01388417,0.0008391927,0.0123892,0.02889709,0.002691259,0.144945,0.0002087292,0.0008435681,0.06269351,0.001862927,0.01127294,0.02230439,0.001407832,0.07237809,0.05004946,0.1502783,0.06671862,0.0443676,0.01497002,0.07297963,0.05679122,0.001854245,0.7068109,0.01265304,0.002628278,0.01275507,0.009878552,1.892792,2.158345,7.587432,6.683384,10.82743,2.570826,10.77638,22.49593
364,0.005394951,0.02880597,0.03810865,0.005332875,0.001360276,0.001991599,0.001843778,3.913658E-05,0.006206327,0.03875798,0.0005054388,9.532569E-05,7.92804E-05,0.05471567,0.002206443,0.0008761021,0.0009171668,0.01534152,0.001785486,0.0001571925,1.015408E-05,0.00133562,6.899217E-05,0.002830354,0.002954399,0.0002446303,0.001167644,0.0002718206,0.003635951,6.533341E-06,0.005682472,0.0003328061,0.002308292,0.006453151,2.176021E-06,7.874277E-06,0.0003442528,0.005155216,0.0006044913,0.001991635,0.01592054,0.02656632,0.09002165,0.01390204,0.0008414469,0.01239537,0.02899026,0.002692824,0.144796,0.0002088609,0.0008472729,0.06268988,0.001863145,0.01124596,0.02231963,0.001408175,0.07233811,0.04478888,0.1401538,0.07017906,0.0420566,0.01470225,0.07293794,0.05673606,0.001854221,0.7069514,0.01265884,0.002643688,0.01275304,0.00988132,1.892238,2.157432,7.580691,6.682881,10.82691,2.5723,10.77404,22.49357
365,0.005396359,0.02880849,0.03810705,0.00533438,0.001359912,0.001990693,0.001843529,3.894927E-05,0.00620545,0.03876635,0.0005123673,9.564204E-05,7.92787E-05,0.05517992,0.002188797,0.0008738701,0.0009227249,0.01536457,0.001790246,0.0001571702,1.040142E-05,0.001337974,7.531021E-05,0.002888683,0.002957792,0.000238422,0.001179265,0.0002760383,0.003640163,6.579213E-06,0.005686563,0.0003340903,0.002309799,0.006477371,2.470235E-06,6.855326E-06,0.000345527,0.005156122,0.0006051396,0.001993713,0.01591085,0.02660627,0.09001496,0.01391972,0.0008436664,0.01240076,0.02908151,0.002694281,0.1446382,0.0002089912,0.0008509485,0.06268391,0.001863179,0.01121756,0.02233498,0.00140851,0.07229844,0.03876349,0.1632297,0.07565761,0.03883103,0.01399439,0.07288965,0.0566792,0.001854164,0.7070779,0.01266204,0.002656435,0.01275058,0.009883807,1.891656,2.156605,7.57424,6.682328,10.82677,2.575415,10.77494,22.49004
366,0.005397771,0.02881111,0.03810546,0.005335885,0.001359546,0.00198981,0.001843292,3.876431E-05,0.006204643,0.03877477,0.00051941,9.596242E-05,7.928108E-05,0.05564573,0.00217157,0.0008716806,0.0009282741,0.01538782,0.001795026,0.000157149,1.095488E-05,0.001339302,6.900188E-05,0.002924845,0.002961142,0.0002319934,0.001182318,0.0002770085,0.003661099,6.535708E-06,0.005698938,0.000335373,0.002311292,0.006500867,2.514678E-06,6.05769E-06,0.0003470246,0.005156932,0.0006057782,0.001995736,0.01590118,0.02664707,0.09000731,0.01393748,0.000845841,0.01240496,0.0291702,0.002695726,0.1444698,0.0002091197,0.0008545831,0.06267536,0.001862894,0.01118694,0.02235045,0.001408834,0.07225598,0.04166031,0.1515278,0.08870687,0.03514406,0.01374781,0.07283325,0.05662121,0.001854086,0.7071876,0.01266302,0.002666711,0.01274797,0.009885959,1.891113,2.155703,7.569706,6.681784,10.82617,2.576634,10.77577,22.49085
