Year,"Coastal dolphins","Offshore dolphins","Baleen whales",Seabird,"Sea turtle","Blacktip shark","Dusky shark","Sandbar shark","Large coastal sharks","Large oceanic sharks","Atlantic sharpnose shark","Small coastal sharks","Yellowfin tuna","Bluefin tuna","Other tunas",Billfish,Swordfish,"Pelagic coastal piscivores",Amberjack,Cobia,"King mackerel (0-1yr)","King mackerel (1+yr)","Spanish mackerel (0-1yr)","Spanish mackerel (1+yr)",Skates-rays,"Gag grouper (0-3yr)","Gag grouper (3+yr)","Red grouper (0-3yr)","Red grouper (3+yr)","Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)","Goliath grouper","Deep-water grouper","Shallow-water grouper","Red snapper (0yr)","Red snapper (1-2yr)","Red snapper (3+yr)","Vermilion snapper","Mutton snapper","Other snapper","Inshore coastal piscivores","Sea trout","Oceanic piscivores","Benthic piscivores","Reef piscivores","Reef invertebrate feeders","Demersal coastal invertebrate feeders","Red drum","Benthic coastal invertebrate feeders",Tilefish,"Gray triggerfish","Coastal omnivores","Reef omnivores","Surface pelagics","Large oceanic planktivores","Oceanic planktivores",Sardine-herring-scad,"Menhaden (0yr)","Menhaden (1yr)","Menhaden (2yr)","Menhaden (3yr)","Menhaden (4yr)",Anchovy-silverside-killifish,Mullet,Butterfish,Cephalopod,"Pink shrimp","Brown shrimp","White shrimp",Crab,"Sessile epifauna","Mobile epifauna",Zooplankton,Infauna,Algae,Seagrass,Phytoplankton,Detritus
1,0.01352055,0.09623767,0.07219334,0.01471828,0.008605165,0.04551968,0.009939923,0.0008145035,0.03621945,0.04592,0.01318692,0.002300575,0.007104192,0.003359447,0.005183882,0.003994276,0.01493168,0.06514984,0.01895564,0.00948137,0.0002272771,0.03718875,0.0006749525,0.04263984,0.03632354,0.001114457,0.008294969,0.0007725588,0.007157219,2.462748E-05,0.01145919,0.0004273321,0.006409483,0.004432314,0.0007191673,0.006354455,0.01240608,0.05194555,0.008406757,0.01296631,0.1075024,0.05953379,0.07164549,0.04320202,0.02151405,0.1393938,0.1892165,0.07049976,0.2965911,0.002886067,0.02658304,0.14369,0.01419981,0.07650501,0.04319,0.04719223,0.8777499,0.750414,2.361406,1.425125,0.4711134,0.1629646,0.6407709,0.1806031,0.02143901,2.010091,0.01252133,0.007877484,0.05752967,0.2025989,5.608787,9.582086,20.81766,21.40733,38.74885,5.015495,31.81779,68.62865
2,0.01346859,0.09733523,0.07237854,0.01472366,0.008530415,0.04508127,0.009950584,0.0008004462,0.03607076,0.04595252,0.01223624,0.002271791,0.00709099,0.003578138,0.004585227,0.003964747,0.01470112,0.06425875,0.01892876,0.009350136,0.0002162723,0.03685384,0.0004984265,0.04094755,0.03628035,0.001114711,0.008247874,0.0007731204,0.007115375,2.57589E-05,0.01115951,0.0004232708,0.006389674,0.004392212,0.000663056,0.006190802,0.01225138,0.05166073,0.008389876,0.01293494,0.1067894,0.05724034,0.07143158,0.0431827,0.02155434,0.1392408,0.1811536,0.06976177,0.2971309,0.002874091,0.02575339,0.1435362,0.0142279,0.07593726,0.04336186,0.04713373,0.8768581,0.7437367,2.401489,1.424569,0.4783354,0.1610467,0.6428538,0.1790803,0.02140451,2.000841,0.01209056,0.006811993,0.05599071,0.1987281,5.607079,9.576184,20.81516,21.4081,38.74785,5.019332,31.81665,68.62502
3,0.01341838,0.09846123,0.07254374,0.01472599,0.008453228,0.04465744,0.00996296,0.0007910241,0.03591846,0.04598104,0.01061836,0.002207282,0.007059382,0.00380553,0.003596858,0.003966704,0.01424682,0.06313089,0.01894585,0.009372014,0.0002089859,0.03665148,0.0003985286,0.03741432,0.03623021,0.00113931,0.008248279,0.0007768911,0.00707111,2.665687E-05,0.01080165,0.000416374,0.006426139,0.004331257,0.0006377501,0.005724344,0.01219859,0.05125867,0.008351671,0.01297785,0.1055223,0.05540258,0.07139859,0.04313808,0.02248578,0.1402114,0.1730316,0.06917597,0.3012291,0.002847899,0.02456631,0.1441399,0.01431697,0.07612716,0.04363045,0.04718233,0.8779171,0.7137112,2.32815,1.435705,0.4747846,0.1630121,0.6476017,0.1765385,0.02143777,2.005313,0.01190803,0.006688325,0.05551101,0.1934296,5.607868,9.585213,20.86216,21.42233,38.75515,5.01675,31.82379,68.64089
4,0.01337592,0.09963239,0.07269306,0.01473077,0.008375319,0.0442851,0.009975148,0.0007810076,0.03573599,0.04600754,0.009584795,0.002164794,0.00703679,0.00405646,0.002848034,0.003947467,0.01382236,0.06161695,0.01903229,0.009544243,0.0002146746,0.0365383,0.0004309192,0.03368523,0.03614549,0.001149871,0.008255751,0.0007741447,0.007065579,2.707762E-05,0.01038013,0.0004114743,0.00646537,0.004221521,0.0006584273,0.005469261,0.01211395,0.05108827,0.008300718,0.01298509,0.104282,0.05365889,0.07151994,0.04290799,0.02347247,0.1411079,0.1705774,0.0688379,0.308114,0.002812239,0.02407768,0.1446564,0.01440487,0.07701234,0.04399633,0.04727205,0.8810861,0.7370303,2.359941,1.419367,0.4798367,0.1626791,0.6530622,0.1736537,0.02147792,2.008686,0.01204281,0.007093861,0.05606145,0.1908628,5.606123,9.583908,20.83252,21.4223,38.75071,5.012935,31.81947,68.63122
5,0.01334438,0.100823,0.0728249,0.01474119,0.008299212,0.04390277,0.009975044,0.0007569094,0.03544605,0.04603364,0.008540107,0.002109312,0.007010917,0.004330824,0.002296867,0.003800633,0.01343372,0.05920864,0.01897659,0.009437951,0.000211272,0.03625421,0.0003772349,0.02972849,0.03600972,0.001132528,0.008198726,0.000775746,0.007040872,2.706535E-05,0.009877884,0.0004071236,0.006436932,0.004006681,0.0006262173,0.005559169,0.01175551,0.05090265,0.008227658,0.01280753,0.1030402,0.05002706,0.07173996,0.04212655,0.02359965,0.1407321,0.1651652,0.06769653,0.3162622,0.002766075,0.02349801,0.144478,0.01450423,0.07838199,0.04442953,0.04735062,0.8864161,0.7496092,2.363159,1.433667,0.4757152,0.1645529,0.6591996,0.1725347,0.02152021,2.007224,0.01184963,0.006574373,0.05541122,0.1859339,5.602808,9.577544,20.82491,21.42294,38.74903,5.016873,31.81835,68.62954
6,0.01332743,0.1020225,0.07293998,0.01475764,0.008223419,0.04349993,0.009962979,0.0007200952,0.03498306,0.04606117,0.00737238,0.002034531,0.006982199,0.004627889,0.001926292,0.00355127,0.01304731,0.05673193,0.01883529,0.009136491,0.0002088418,0.03584761,0.0003366478,0.02593051,0.03585654,0.001107902,0.008083007,0.0007769326,0.007004115,2.683343E-05,0.009399976,0.0004023275,0.006371384,0.003736289,0.0006071766,0.005372849,0.01134352,0.05069794,0.008129907,0.01253408,0.1023631,0.04626611,0.07205724,0.04091414,0.02337063,0.1400408,0.1592827,0.06625645,0.3259937,0.00270652,0.02278707,0.1440668,0.01464232,0.0802121,0.04491301,0.04742252,0.8953162,0.7384384,2.390739,1.435602,0.4853585,0.1643858,0.6663294,0.1742021,0.02158195,2.005242,0.01178912,0.006591035,0.05533603,0.1790315,5.600752,9.573183,20.82749,21.42844,38.74874,5.01833,31.81975,68.63049
7,0.01333409,0.1032188,0.07304027,0.0147845,0.008149453,0.04312201,0.00994375,0.0006774799,0.03437712,0.04609453,0.006099681,0.001944087,0.006976404,0.004956451,0.001582639,0.003263828,0.01266329,0.05453465,0.01899969,0.00875945,0.0002027248,0.03544779,0.0002434914,0.02219643,0.03570157,0.001099582,0.007969713,0.0007793601,0.006979467,2.629571E-05,0.009447441,0.0003967829,0.00630567,0.003484681,0.0005676324,0.005129428,0.01114027,0.05042088,0.008012145,0.01225428,0.1016756,0.04248838,0.07247005,0.03941167,0.02324647,0.1395404,0.1519749,0.0647838,0.3373786,0.002633399,0.02185126,0.1436228,0.01481271,0.0824031,0.04543002,0.04745521,0.9059024,0.7281318,2.323187,1.442416,0.4842933,0.1665415,0.6742632,0.1782081,0.02164718,2.00873,0.01146467,0.005892865,0.05428275,0.1697921,5.599634,9.580886,20.86353,21.43997,38.75373,5.002233,31.82183,68.63461
8,0.01336432,0.1044173,0.07312606,0.01482245,0.008083972,0.04279378,0.009919654,0.0006370441,0.03385518,0.0461362,0.004843461,0.001834731,0.006928036,0.005304705,0.001187196,0.003019349,0.01227502,0.0533842,0.01868007,0.008372302,0.000199508,0.0353554,0.0001982069,0.01879164,0.03568721,0.001094906,0.007856843,0.0007819422,0.006941477,2.56163E-05,0.009529658,0.0003909258,0.006244943,0.003407916,0.0005489151,0.004835656,0.01082813,0.05013077,0.007959273,0.01213805,0.1017765,0.04252081,0.07298438,0.03869526,0.02330564,0.1400671,0.1479481,0.06418409,0.3504238,0.002594588,0.02083231,0.1446745,0.01500411,0.08472496,0.04598585,0.0474754,0.91576,0.7555048,2.357892,1.425659,0.489538,0.1676394,0.6817344,0.185003,0.02179207,2.009522,0.01137693,0.005847765,0.05409442,0.1593254,5.596378,9.574538,20.8251,21.44614,38.74787,5.007498,31.81728,68.6249
9,0.0134151,0.1056118,0.07319733,0.0148706,0.008033853,0.04251475,0.009886825,0.0005939414,0.03343339,0.04618465,0.003973083,0.00174443,0.006879542,0.005686488,0.000973371,0.00278796,0.01192027,0.05309311,0.01842975,0.007860572,0.0002029653,0.0350897,0.0001927073,0.01598449,0.03578973,0.001077427,0.00771182,0.0007883187,0.006888095,2.479389E-05,0.009547631,0.0003866218,0.006135827,0.003387762,0.0005525139,0.004631541,0.01029198,0.05001273,0.007942985,0.01203314,0.102992,0.04225988,0.07352631,0.03845758,0.02272221,0.140217,0.1468137,0.06377561,0.3627157,0.002580398,0.02029751,0.1457244,0.01518514,0.0869081,0.04657516,0.04749969,0.9270627,0.750447,2.360323,1.428076,0.4866992,0.1690918,0.688547,0.1932858,0.02190832,2.004408,0.01144176,0.005963604,0.05438337,0.1508843,5.591139,9.573563,20.84009,21.45484,38.74702,5.019843,31.81707,68.62898
10,0.01348776,0.1067774,0.07325467,0.01492768,0.007985719,0.04231931,0.009858648,0.0005594221,0.03305865,0.04624005,0.003375677,0.001684952,0.006886017,0.006120271,0.0008669684,0.002631776,0.01158521,0.05414868,0.01889191,0.007519053,0.0002044503,0.03497311,0.0001886003,0.01392544,0.03598712,0.001083091,0.007663762,0.0007957714,0.006869639,2.394252E-05,0.009632089,0.0003833123,0.006063057,0.003488036,0.0005397905,0.004658806,0.009675373,0.0500111,0.007947718,0.01206794,0.105087,0.0436437,0.07404586,0.03858346,0.02263996,0.141105,0.1488314,0.0641336,0.3738174,0.002575323,0.02016901,0.1468785,0.01535364,0.08868708,0.04716302,0.047479,0.9386212,0.7371754,2.376652,1.438391,0.4861979,0.1701219,0.6940713,0.2021002,0.02197202,2.001502,0.01150076,0.005882183,0.05465223,0.1443835,5.584988,9.571229,20.83295,21.46089,38.74446,5.029439,31.81512,68.62736
