TimeStep,"Coastal dolphins","Offshore dolphins","Baleen whales",Seabird,"Sea turtle","Blacktip shark","Dusky shark","Sandbar shark","Large coastal sharks","Large oceanic sharks","Atlantic sharpnose shark","Small coastal sharks","Yellowfin tuna","Bluefin tuna","Other tunas",Billfish,Swordfish,"Pelagic coastal piscivores",Amberjack,Cobia,"King mackerel (0-1yr)","King mackerel (1+yr)","Spanish mackerel (0-1yr)","Spanish mackerel (1+yr)",Skates-rays,"Gag grouper (0-3yr)","Gag grouper (3+yr)","Red grouper (0-3yr)","Red grouper (3+yr)","Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)","Goliath grouper","Deep-water grouper","Shallow-water grouper","Red snapper (0yr)","Red snapper (1-2yr)","Red snapper (3+yr)","Vermilion snapper","Mutton snapper","Other snapper","Inshore coastal piscivores","Sea trout","Oceanic piscivores","Benthic piscivores","Reef piscivores","Reef invertebrate feeders","Demersal coastal invertebrate feeders","Red drum","Benthic coastal invertebrate feeders",Tilefish,"Gray triggerfish","Coastal omnivores","Reef omnivores","Surface pelagics","Large oceanic planktivores","Oceanic planktivores",Sardine-herring-scad,"Menhaden (0yr)","Menhaden (1yr)","Menhaden (2yr)","Menhaden (3yr)","Menhaden (4yr)",Anchovy-silverside-killifish,Mullet,Butterfish,Cephalopod,"Pink shrimp","Brown shrimp","White shrimp",Crab,"Sessile epifauna","Mobile epifauna",Zooplankton,Infauna,Algae,Seagrass,Phytoplankton,Detritus
1,0.01354482,0.09572188,0.07210124,0.01471503,0.008639766,0.045715,0.009933913,0.0008201468,0.0362779,0.04590389,0.01317854,0.002293286,0.00710357,0.003259213,0.005187031,0.003998891,0.01493501,0.06525532,0.01896422,0.009468568,0.0002255789,0.03729494,0.0006740242,0.04260115,0.03633287,0.001114522,0.00830117,0.000774463,0.007156054,2.397216E-05,0.01157925,0.0004276722,0.006416685,0.004429328,0.0007229106,0.006363926,0.0124612,0.05195461,0.008405745,0.01295933,0.1074361,0.05952663,0.07176574,0.04312715,0.02150398,0.1393401,0.1892492,0.07045764,0.2965485,0.002887714,0.02658854,0.1437197,0.0141943,0.07681193,0.04311668,0.04723024,0.8779881,0.748986,2.330971,1.41808,0.475412,0.1635506,0.6401516,0.1806275,0.0214611,2.014598,0.01251965,0.007877023,0.05753948,0.2025173,5.609209,9.586373,20.83315,21.40953,38.75159,5.011268,31.82055,68.63365
2,0.01354033,0.09581723,0.07211854,0.01471564,0.008633382,0.04567863,0.00993502,0.0008191058,0.03626708,0.04590688,0.01318012,0.002294619,0.007103685,0.003277107,0.005186385,0.003998043,0.01493439,0.06523604,0.01896265,0.009470942,0.000226429,0.03728394,0.0006736714,0.04260716,0.03633142,0.001116314,0.008298415,0.0007734677,0.007157862,2.416991E-05,0.01155591,0.0004276053,0.00641534,0.004429881,0.000722444,0.006357614,0.01245552,0.05195307,0.008405901,0.0129607,0.1074517,0.05952853,0.07174303,0.0431411,0.02150591,0.1393507,0.1892468,0.0704656,0.2965649,0.002887402,0.02658759,0.143719,0.01419523,0.07675632,0.04313035,0.04722427,0.8779461,0.7488056,2.335865,1.427442,0.4702674,0.1625947,0.640267,0.1806262,0.021458,2.013925,0.01251999,0.007877226,0.05753841,0.2025347,5.609139,9.585667,20.83038,21.40919,38.7509,5.009414,31.82009,68.63235
3,0.01353585,0.09591226,0.0721358,0.01471625,0.008627046,0.04564239,0.009936126,0.0008180709,0.03625638,0.04590988,0.01318165,0.002295949,0.007103804,0.003295096,0.005185788,0.003997199,0.01493379,0.06521675,0.0189611,0.009473328,0.0002260348,0.03726442,0.0006732449,0.0426193,0.03632992,0.001116961,0.008297208,0.0007722954,0.007157696,2.423946E-05,0.01153507,0.0004275399,0.006413996,0.004430443,0.0007221779,0.006358546,0.0124402,0.05195152,0.008406081,0.01296205,0.1074668,0.05953064,0.07172044,0.04315476,0.02150779,0.1393611,0.1892445,0.07047351,0.29658,0.002887093,0.02658661,0.143717,0.0141962,0.07670069,0.04314394,0.04721868,0.8779042,0.735455,2.362824,1.419689,0.468755,0.1628674,0.6403773,0.1806243,0.0214545,2.013194,0.01252043,0.007877368,0.05753694,0.2025508,5.609076,9.584662,20.82535,21.40879,38.75009,5.009094,31.81891,68.63081
4,0.0135314,0.09600674,0.07215279,0.01471686,0.008620723,0.04560649,0.009937229,0.0008170404,0.03624564,0.04591286,0.01318313,0.002297278,0.007103923,0.003313177,0.005185223,0.003996353,0.01493318,0.06519746,0.01895958,0.009475706,0.0002272935,0.03723234,0.0006762763,0.04262672,0.03632842,0.00111497,0.008296966,0.0007723343,0.007156981,2.436469E-05,0.01151547,0.0004274766,0.006412673,0.004431005,0.0007175541,0.006357959,0.01243465,0.05194994,0.008406258,0.01296331,0.1074821,0.05953414,0.07169822,0.04316876,0.02150961,0.1393711,0.1892416,0.0704813,0.2965925,0.002886788,0.02658563,0.1437131,0.01419718,0.07664496,0.04315739,0.04721136,0.8778614,0.7271145,2.358925,1.439756,0.4669732,0.1623304,0.6404842,0.1806212,0.02145058,2.012405,0.01252086,0.007877372,0.05753462,0.2025666,5.60898,9.5837,20.82174,21.40831,38.74965,5.010468,31.81863,68.62827
5,0.013527,0.09610061,0.07216951,0.01471747,0.008614436,0.04557117,0.009938331,0.0008160134,0.03623512,0.04591579,0.01318461,0.00229861,0.007104075,0.00333137,0.005184672,0.003995514,0.01493258,0.06517849,0.01895805,0.00947804,0.000228235,0.03721325,0.0006734348,0.04263625,0.03632668,0.001115289,0.008296277,0.000771479,0.007158534,2.443868E-05,0.01149218,0.0004274152,0.006411361,0.004431563,0.0007202383,0.006354047,0.01242292,0.05194828,0.008406448,0.01296456,0.1074949,0.05953652,0.07167662,0.0431825,0.02151147,0.1393806,0.1892359,0.07048913,0.2966028,0.002886489,0.02658465,0.1437073,0.01419816,0.0765886,0.04317075,0.04720375,0.8778155,0.729083,2.363035,1.431051,0.4698212,0.1632987,0.6405921,0.1806168,0.02144605,2.011573,0.01252122,0.007877246,0.05753163,0.202581,5.608886,9.582935,20.82323,21.40802,38.75012,5.012451,31.82013,68.62689
6,0.01352263,0.0961941,0.07218619,0.01471808,0.008608161,0.04553618,0.009939413,0.0008149887,0.03622466,0.04591871,0.01318607,0.002299936,0.0071042,0.003349652,0.00518412,0.003994677,0.01493198,0.06515963,0.01895649,0.009480396,0.0002291529,0.03720185,0.0006745322,0.04263003,0.03632488,0.001115608,0.008295,0.0007710834,0.007158204,2.458189E-05,0.01146951,0.0004273553,0.006410053,0.004432108,0.000722529,0.006348149,0.01241215,0.05194657,0.00840665,0.01296583,0.1075058,0.05953825,0.07165517,0.04319614,0.02151332,0.1393901,0.1892277,0.07049736,0.2966083,0.002886192,0.0265836,0.1437003,0.01419917,0.07653281,0.04318406,0.04719607,0.8777724,0.75147,2.359324,1.418879,0.4699561,0.1635644,0.6407071,0.1806119,0.02144151,2.01076,0.0125215,0.007877199,0.05752894,0.2025948,5.608822,9.582171,20.82039,21.40764,38.74945,5.015245,31.81856,68.63006
7,0.01351823,0.09628702,0.07220257,0.01471865,0.008601902,0.0455008,0.009940502,0.0008139712,0.03621406,0.04592158,0.01318749,0.002301255,0.007104306,0.003368041,0.005183511,0.003993846,0.01493138,0.06514008,0.01895494,0.009482648,0.0002282809,0.03717166,0.0006735736,0.04263852,0.03632306,0.001113639,0.00829511,0.0007725502,0.007156679,2.468547E-05,0.0114481,0.0004272964,0.006408771,0.00443265,0.0007211072,0.006349479,0.01240272,0.05194486,0.008406847,0.01296709,0.107515,0.05953643,0.07163352,0.04320958,0.02151513,0.1393993,0.1892193,0.07050396,0.2966111,0.0028859,0.0265826,0.1436929,0.0142002,0.0764773,0.04319723,0.04718846,0.8777273,0.7331604,2.387187,1.423902,0.4695035,0.1631073,0.6408238,0.1806062,0.02143682,2.009924,0.01252172,0.00787729,0.05752717,0.2026084,5.608771,9.581274,20.81273,21.40714,38.74811,5.016718,31.81617,68.62975
8,0.01351388,0.09637945,0.07221888,0.01471926,0.008595676,0.04546605,0.009941577,0.0008129555,0.03620353,0.04592447,0.01318901,0.002302577,0.007104418,0.00338654,0.005182954,0.003993015,0.01493079,0.06512101,0.01895334,0.009484932,0.0002288529,0.03715903,0.0006750584,0.04264316,0.03632114,0.00111236,0.008294407,0.0007743519,0.007155146,2.484266E-05,0.01142831,0.0004272377,0.006407492,0.004433168,0.0007206505,0.006350296,0.0123886,0.05194309,0.008407041,0.0129683,0.1075245,0.05953665,0.07161236,0.04322294,0.02151683,0.1394083,0.1892105,0.07051232,0.2966104,0.002885611,0.02658156,0.1436837,0.01420122,0.07642116,0.04321023,0.04718113,0.8776824,0.7469086,2.371367,1.43025,0.469041,0.1632454,0.6409349,0.1805986,0.02143228,2.00899,0.01252188,0.007877466,0.05752593,0.2026221,5.608696,9.580518,20.80903,21.40662,38.74761,5.017955,31.81627,68.62572
9,0.01350957,0.09647155,0.07223495,0.01471981,0.008589475,0.04543154,0.009942649,0.0008119441,0.03619306,0.04592731,0.01319059,0.002303888,0.007104519,0.003405148,0.005182458,0.003992189,0.01493019,0.06510209,0.01895173,0.009487184,0.0002272704,0.03713685,0.0006773078,0.04266108,0.03631918,0.001113098,0.008293564,0.0007738881,0.007155815,2.493875E-05,0.01140604,0.0004271799,0.006406222,0.004433673,0.0007133739,0.006357555,0.01237845,0.05194126,0.008407226,0.01296948,0.1075316,0.05953616,0.07159115,0.04323605,0.02151846,0.1394169,0.1891989,0.07051989,0.2966066,0.002885325,0.02658045,0.1436733,0.01420224,0.07636461,0.04322317,0.04717386,0.8776343,0.7572849,2.37445,1.417782,0.4710897,0.1630356,0.6410435,0.1805899,0.02142771,2.007989,0.01252199,0.00787762,0.05752473,0.2026347,5.608598,9.58004,20.80969,21.40615,38.74782,5.019586,31.81738,68.62464
10,0.01350526,0.09656299,0.07225087,0.0147203,0.008583291,0.04539696,0.009943713,0.0008109374,0.03618252,0.0459301,0.01319224,0.002305196,0.007104566,0.003423841,0.005181965,0.003991359,0.01492958,0.06508292,0.01895013,0.009489384,0.0002266259,0.03712209,0.0006748173,0.04266361,0.0363171,0.001114281,0.008291639,0.0007703557,0.007159577,2.500329E-05,0.01138191,0.0004271235,0.006404971,0.004434164,0.0007149456,0.0063526,0.01236935,0.05193946,0.008407414,0.0129706,0.1075373,0.05953433,0.07157031,0.04324904,0.0215202,0.1394259,0.1891874,0.07052619,0.2965993,0.002885041,0.0265794,0.1436623,0.01420336,0.07630878,0.04323601,0.04716666,0.8775925,0.7558359,2.372578,1.427867,0.4701805,0.1633594,0.6411617,0.1805809,0.0214236,2.006945,0.01252213,0.007877761,0.0575236,0.2026469,5.608508,9.579712,20.81147,21.40585,38.74789,5.021529,31.81742,68.62682
